Data,Dia,Dia da Semana,Semana do mês,Mes do ano,Final de Semana,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Consumo de cerveja (litros)
13/05/2015,133,4,2,5,0,16.34,14.7,18.9,2.8,17.287
14/05/2015,134,5,2,5,0,16.72,14.2,21,0,20.3
15/05/2015,135,6,3,5,0,16.84,13.6,21.5,0,20.538
16/05/2015,136,7,3,5,1,17.18,13.2,22.3,0,23.702
17/05/2015,137,1,3,5,1,18.26,15.4,22.4,0,28.411
18/05/2015,138,2,3,5,0,18.6,16.6,21.3,0,21.073
19/05/2015,139,3,3,5,0,18.64,17,22.9,0,24.215
20/05/2015,140,4,3,5,0,18.74,15.9,23.3,0.2,19.525
21/05/2015,141,5,3,5,0,19.46,16.3,25,0,20.786
22/05/2015,142,6,4,5,0,20.26,16.3,25.4,0,20.429
23/05/2015,143,7,4,5,1,19.94,15.9,24.4,0,27.25
24/05/2015,144,1,4,5,1,21.8,17.9,26.3,0,31.387
25/05/2015,145,2,4,5,0,22.06,17.5,27.4,0,26.075
26/05/2015,146,3,4,5,0,21.28,19.7,24.8,0,22.162
27/05/2015,147,4,4,5,0,22.94,19.7,27.1,0,24.258
28/05/2015,148,5,4,5,0,18.56,16.8,23.2,1.8,24.683
29/05/2015,149,6,5,5,0,17.68,15.3,21.9,7.2,21.245
30/05/2015,150,7,5,5,1,17.52,13.1,22.9,0,25.937
31/05/2015,151,1,5,5,1,16.28,13.6,18.4,5.6,26.081
01/06/2015,152,2,1,6,0,16.28,15.2,18,2.2,16.228
02/06/2015,153,3,1,6,0,16.04,15,17.5,0.5,20.106
03/06/2015,154,4,1,6,0,17.94,15,21.7,0,21.055
04/06/2015,155,5,1,6,0,18.36,14.6,24.1,0,22.772
05/06/2015,156,6,1,6,0,18.32,14.1,25.3,0,25.142
06/06/2015,157,7,1,6,1,19.66,13.8,26.1,0,31.129
07/06/2015,158,1,1,6,1,20.62,15.9,26.2,0,30.498
08/06/2015,159,2,2,6,0,20.86,15.2,26.4,0,26.15
09/06/2015,160,3,2,6,0,20.32,15.2,26,0,21.327
10/06/2015,161,4,2,6,0,20.54,15.5,26.2,0,22.008
11/06/2015,162,5,2,6,0,22.72,17.5,26.9,0,24.615
12/06/2015,163,6,2,6,0,18.8,16.9,23.5,0,22.375
13/06/2015,164,7,2,6,1,21.1,15.5,27.4,0,29.607
14/06/2015,165,1,2,6,1,22.76,18.1,27.3,0,32.983
15/06/2015,166,2,3,6,0,16.02,13.1,23.4,0,19.119
16/06/2015,167,3,3,6,0,14.82,12.1,18.1,9,21.029
17/06/2015,168,4,3,6,0,19.8,13.9,25.1,0,23.898
18/06/2015,169,5,3,6,0,19.88,15.8,26.2,0,24.534
19/06/2015,170,6,3,6,0,14.66,13.2,17.7,3.8,16.748
20/06/2015,171,7,3,6,1,15.82,12.5,20.4,0,23.055
21/06/2015,172,1,3,6,1,17.32,12.6,24.6,0,28.857
22/06/2015,173,2,4,6,0,18.54,13.1,24.6,0,23.022
23/06/2015,174,3,4,6,0,19.02,14.4,25.5,0,27.146
24/06/2015,175,4,4,6,0,14.54,13.9,18,3.8,17.241
25/06/2015,176,5,4,6,0,14.72,12.1,17.4,1,19.463
26/06/2015,177,6,4,6,0,15.26,12,20.9,0,21.86
27/06/2015,178,7,4,6,1,15.34,10.6,20.8,0,24.227
28/06/2015,179,1,4,6,1,15.48,11.2,21.8,0,27.594
29/06/2015,180,2,5,6,0,17.2,11,24.4,0,24.863
30/06/2015,181,3,5,6,0,19.36,13.2,25.1,0,20.161
01/07/2015,182,4,1,7,0,17.78,16.2,20.5,0,20.824
02/07/2015,183,5,1,7,0,17.2,15.1,19.9,1.6,19.727
03/07/2015,184,6,1,7,0,17.52,15.6,18.4,17.8,14.94
04/07/2015,185,7,1,7,1,14.94,10.9,21,15.2,24.632
05/07/2015,186,1,1,7,1,12.9,11,14.5,4.4,21.294
06/07/2015,187,2,1,7,0,15.78,11.3,20.6,0,18.448
07/07/2015,188,3,1,7,0,16.8,13.3,20.2,0,21.237
08/07/2015,189,4,2,7,0,17.02,14.9,18.7,4.5,19.849
09/07/2015,190,5,2,7,0,17.54,15.3,20.4,0,20.74
10/07/2015,191,6,2,7,0,19.24,14,25.4,0,25.698
11/07/2015,192,7,2,7,1,17.46,16,19.8,0,26.691
12/07/2015,193,1,2,7,1,20.32,14,27.4,3,33.298
13/07/2015,194,2,2,7,0,22.06,16.7,28.7,0,25.64
14/07/2015,195,3,2,7,0,23.3,18.4,29.3,0,23.937
15/07/2015,196,4,3,7,0,20.18,17.2,27.6,0,28.742
16/07/2015,197,5,3,7,0,19.88,16.2,25.8,0,21.748
17/07/2015,198,6,3,7,0,19.14,15.8,24.3,0,22.032
18/07/2015,199,7,3,7,1,20.2,18.2,23.8,0,24.827
19/07/2015,200,1,3,7,1,19.98,14.6,25.9,0,32.473
20/07/2015,201,2,3,7,0,20.56,14.9,25.1,0,20.62
21/07/2015,202,3,3,7,0,16.72,14,21.4,0,21.825
22/07/2015,203,4,4,7,0,14.52,12.8,16.1,0,14.343
23/07/2015,204,5,4,7,0,17.02,13.6,20.6,0,19.029
24/07/2015,205,6,4,7,0,18.46,14.3,25.8,0,21.104
25/07/2015,206,7,4,7,1,15.9,14.9,17.9,16.6,20.738
26/07/2015,207,1,4,7,1,16.82,13.6,22.9,2,25.233
27/07/2015,208,2,4,7,0,16.6,11,24.2,0,18.975
28/07/2015,209,3,4,7,0,16.46,11.6,24.5,0,19.64
29/07/2015,210,4,5,7,0,16.2,11,23.8,0,22.522
30/07/2015,211,5,5,7,0,16.76,11.3,26.7,0,24.227
31/07/2015,212,6,5,7,0,19.24,12.8,26.6,0,24.726
01/08/2015,213,7,1,8,1,19.78,14.3,26.4,0,32.467
02/08/2015,214,1,1,8,1,20.1,13.8,26.3,0,31.663
03/08/2015,215,2,1,8,0,21.16,14.9,26.9,0,25.867
04/08/2015,216,3,1,8,0,21.04,15.2,27.4,0,27.724
05/08/2015,217,4,1,8,0,20.96,15,27.2,0,22.039
06/08/2015,218,5,1,8,0,21.06,16.3,27.7,0,26.127
07/08/2015,219,6,1,8,0,22.08,15.5,28.9,0,26.58
08/08/2015,220,7,2,8,1,21.16,16,27.8,0,31.31
09/08/2015,221,1,2,8,1,19.62,15.6,26.2,0,33.517
10/08/2015,222,2,2,8,0,21.2,15.6,28,0,23.181
11/08/2015,223,3,2,8,0,19.6,15.2,27.2,0,24.183
12/08/2015,224,4,2,8,0,20.12,14.1,26.6,0,24.594
13/08/2015,225,5,2,8,0,20.42,14.1,28.1,0,22.61
14/08/2015,226,6,2,8,0,20.86,15.3,27.6,0,25.479
15/08/2015,227,7,3,8,1,21.44,15.6,27.8,0,29.621
16/08/2015,228,1,3,8,1,20.56,16.2,27.2,0,26.272
17/08/2015,229,2,3,8,0,21.58,15.3,28,0,22.541
18/08/2015,230,3,3,8,0,21.3,16.7,26.5,0,23.07
19/08/2015,231,4,3,8,0,20.74,17.3,28.3,0,26.021
20/08/2015,232,5,3,8,0,16.2,14.8,19.6,0,17.655
21/08/2015,233,6,3,8,0,16.84,13.2,22.1,1,23.243
22/08/2015,234,7,4,8,1,18.08,14.1,26.2,0,30.177
23/08/2015,235,1,4,8,1,20.22,13.5,30,0,27.518
24/08/2015,236,2,4,8,0,16.98,15.1,20.5,0,23.21
25/08/2015,237,3,4,8,0,16.98,14.3,20.5,2.4,21.092
26/08/2015,238,4,4,8,0,18.92,14.8,24,0.6,23.357
27/08/2015,239,5,4,8,0,16.1,13.8,19.8,2.6,17.888
28/08/2015,240,6,4,8,0,16.28,12.8,22.1,25,22.217
29/08/2015,241,7,5,8,1,18.46,12.2,26.7,0,31.681
30/08/2015,242,1,5,8,1,22.52,14.3,32,0,31.833
31/08/2015,243,2,5,8,0,24.54,16.6,32.2,0,28.441
01/09/2015,244,3,1,9,0,21.44,17.2,30.7,0,22.389
02/09/2015,245,4,1,9,0,16.1,14.1,20.2,0.4,20.681
03/09/2015,246,5,1,9,0,19.3,14.8,25,0,24.222
04/09/2015,247,6,1,9,0,16.66,15.2,19.3,0,19.345
05/09/2015,248,7,1,9,1,16.12,14.4,18.5,2.4,21.827
06/09/2015,249,1,1,9,1,16.48,13.3,19.9,0,23.566
07/09/2015,250,2,1,9,0,18.72,13.8,24.4,0.1,20.227
08/09/2015,251,3,2,9,0,17.08,15.8,19.2,23.6,17.075
09/09/2015,252,4,2,9,0,18.82,15.8,22.9,58,16.977
10/09/2015,253,5,2,9,0,18.92,13.9,25.6,0,21.525
11/09/2015,254,6,2,9,0,16.88,14.1,21.8,31.8,21.454
12/09/2015,255,7,2,9,1,14,12.8,15.6,27.6,21.814
13/09/2015,256,1,2,9,1,14.18,12.5,16.1,0,21.252
14/09/2015,257,2,2,9,0,16.46,13,22.5,0.2,20.464
15/09/2015,258,3,3,9,0,21.18,14.4,30.1,0,30.775
16/09/2015,259,4,3,9,0,25.24,17.2,32.6,0,25.343
17/09/2015,260,5,3,9,0,27.26,20.4,33,0,33.93
18/09/2015,261,6,3,9,0,28.06,21.3,34.5,0,26.311
19/09/2015,262,7,3,9,1,28,21.1,35.5,0,31.836
20/09/2015,263,1,3,9,1,23.6,19.2,33.3,0,34.695
21/09/2015,264,2,3,9,0,24.72,17.4,32.8,0,29.829
22/09/2015,265,3,4,9,0,25.7,18.9,33.3,0,26.362
23/09/2015,266,4,4,9,0,26.14,18.3,34,0,32.589
24/09/2015,267,5,4,9,0,28.3,20.5,35.3,0,30.345
25/09/2015,268,6,4,9,0,23.24,19.2,30.3,0,29.411
26/09/2015,269,7,4,9,1,20.58,18.2,24.9,28.6,29.637
27/09/2015,270,1,4,9,1,22.3,18.2,30.6,1.8,32.184
28/09/2015,271,2,4,9,0,21.22,17.5,23.6,27.2,17.731
29/09/2015,272,3,5,9,0,21.8,17.5,27.1,0,24.114
30/09/2015,273,4,5,9,0,21.52,18.6,27.6,0,28.034
01/10/2015,274,5,1,10,0,20.96,17.6,26.4,7.6,22.664
02/10/2015,275,6,1,10,0,24.74,19.3,32.7,0,27.488
03/10/2015,276,7,1,10,1,20.28,16.1,25,25,24.876
04/10/2015,277,1,1,10,1,18.6,17.1,21.3,0.2,24.862
05/10/2015,278,2,1,10,0,17.36,14.8,22.4,0,24.679
06/10/2015,279,3,1,10,0,18.26,14.6,24.7,0,22.304
07/10/2015,280,4,1,10,0,24.5,15.9,32.6,0,30.329
08/10/2015,281,5,2,10,0,26.56,19.3,34,0,33.182
09/10/2015,282,6,2,10,0,24.52,19.8,29,0,23.849
10/10/2015,283,7,2,10,1,23.06,19.6,28,0.3,33.33
11/10/2015,284,1,2,10,1,22.48,19.6,30,0,34.496
12/10/2015,285,2,2,10,0,22.76,19,29.6,0,26.249
13/10/2015,286,3,2,10,0,21.4,18.1,27.6,2.4,26.523
14/10/2015,287,4,2,10,0,23.62,18.2,28.5,0,26.793
15/10/2015,288,5,3,10,0,28.12,18.9,35.8,0,35.861
16/10/2015,289,6,3,10,0,26.24,21.3,35.7,0,27.387
17/10/2015,290,7,3,10,1,21.22,17.3,29.2,0,32.666
18/10/2015,291,1,3,10,1,16.76,15.5,19.2,0.1,22.199
19/10/2015,292,2,3,10,0,19.86,15.5,27.2,0,24
20/10/2015,293,3,3,10,0,26.3,17.2,35.3,0,27.871
21/10/2015,294,4,3,10,0,24.62,21.3,32,0,31.139
22/10/2015,295,5,4,10,0,19.9,17.7,22.8,14.6,23.065
23/10/2015,296,6,4,10,0,20.5,17.6,27.3,13.4,26.594
24/10/2015,297,7,4,10,1,17.94,16.2,21.2,0,27.657
25/10/2015,298,1,4,10,1,17.64,15.7,19.2,0,26.594
26/10/2015,299,2,4,10,0,20.86,16,28.5,28.4,28.084
27/10/2015,300,3,4,10,0,22,19.1,28.4,0.1,27.582
28/10/2015,301,4,4,10,0,20.42,18.6,23.9,0,24.862
29/10/2015,302,5,5,10,0,20.56,18.2,24.8,0,22.634
30/10/2015,303,6,5,10,0,23.86,19.1,31.2,0,31.649
31/10/2015,304,7,5,10,1,23.18,18.2,29.3,0,35.781
01/11/2015,305,1,1,11,1,20.22,18.7,22.4,27.2,24.429
02/11/2015,306,2,1,11,0,21.82,18.3,27.2,39.6,20.648
03/11/2015,307,3,1,11,0,21.86,19.5,25.6,3.4,22.741
04/11/2015,308,4,1,11,0,21.52,18.6,27.4,6.8,21.479
05/11/2015,309,5,1,11,0,21.8,18.2,24.8,39.3,23.134
06/11/2015,310,6,1,11,0,19.76,18,22.8,0,20.575
07/11/2015,311,7,1,11,1,18.3,16.8,20,1.2,24.33
08/11/2015,312,1,2,11,1,20.24,17.4,23.9,0.6,28.61
09/11/2015,313,2,2,11,0,22.98,18.7,29.5,4.4,28.456
10/11/2015,314,3,2,11,0,23.72,19.4,31.8,10.4,27.964
11/11/2015,315,4,2,11,0,26.2,19.8,32.7,0,29.569
12/11/2015,316,5,2,11,0,23.78,20.8,31.8,0,29.267
13/11/2015,317,6,2,11,0,22.78,19.4,29.6,0,28.647
14/11/2015,318,7,2,11,1,25.06,19.5,30.4,16.4,26.836
15/11/2015,319,1,3,11,1,23.06,19.8,29.7,8,29.386
16/11/2015,320,2,3,11,0,21.16,19.4,24.9,0,24.609
17/11/2015,321,3,3,11,0,21.76,17.7,29.7,0,26.964
18/11/2015,322,4,3,11,0,25.5,17.6,30.5,14.1,23.614
19/11/2015,323,5,3,11,0,26.16,23.3,30.4,0,22.96
20/11/2015,324,6,3,11,0,23.28,19.6,27,6.8,20.332
21/11/2015,325,7,3,11,1,19.44,17.2,24.4,7.2,30.392
22/11/2015,326,1,4,11,1,22.26,17.1,28.8,0,31.933
23/11/2015,327,2,4,11,0,20.8,19.6,23.6,13.6,21.662
24/11/2015,328,3,4,11,0,21.36,19.3,22.6,7,21.689
25/11/2015,329,4,4,11,0,21.26,19.3,24.8,0.4,25.119
26/11/2015,330,5,4,11,0,22.28,19,27.4,0,25.285
27/11/2015,331,6,4,11,0,22.28,17.6,28.4,0,28.979
28/11/2015,332,7,4,11,1,23.7,18.7,29.8,0,34.382
29/11/2015,333,1,5,11,1,22.38,20.5,26,17.4,30.617
30/11/2015,334,2,5,11,0,19.1,16.7,23.3,23.4,20.238
01/12/2015,335,3,1,12,0,20.1,16.4,25.8,0,24.529
02/12/2015,336,4,1,12,0,22.1,18.2,29.4,0,30.471
03/12/2015,337,5,1,12,0,22.44,20.2,26.1,0,28.405
04/12/2015,338,6,1,12,0,22.76,19,29.1,0,29.513
05/12/2015,339,7,1,12,1,24.8,19.5,30.6,0.1,32.451
06/12/2015,340,1,1,12,1,23.12,20.6,28,0.1,32.78
07/12/2015,341,2,1,12,0,20.04,18,23.9,47.8,23.375
08/12/2015,342,3,2,12,0,21.7,18,28,0,27.713
09/12/2015,343,4,2,12,0,23.96,19.6,27.9,0,27.137
10/12/2015,344,5,2,12,0,24,22.2,27.7,0,22.933
11/12/2015,345,6,2,12,0,24.04,20.7,30.3,0,30.74
12/12/2015,346,7,2,12,1,23.92,20.6,30.8,0,29.579
13/12/2015,347,1,2,12,1,24.54,19.3,31,12.2,29.188
14/12/2015,348,2,2,12,0,26.28,21.1,32.5,2,28.131
15/12/2015,349,3,3,12,0,25.66,20.6,32.8,4,28.617
16/12/2015,350,4,3,12,0,22.04,20.7,24.8,1.5,21.062
17/12/2015,351,5,3,12,0,23.32,18.9,28.7,0,24.337
18/12/2015,352,6,3,12,0,26.42,19.6,33.5,0.1,27.042
19/12/2015,353,7,3,12,1,23.74,19.8,31.3,1.3,32.536
20/12/2015,354,1,3,12,1,22.84,19.6,29,8.4,30.127
21/12/2015,355,2,3,12,0,23.12,19.6,29.1,27.2,24.834
22/12/2015,356,3,4,12,0,24.6,19.6,32.4,43,26.828
23/12/2015,357,4,4,12,0,27.46,22.1,32.4,3,26.468
24/12/2015,358,5,4,12,0,24.72,20.5,31.5,3.4,31.572
25/12/2015,359,6,4,12,0,23.58,17.8,31,39,26.308
26/12/2015,360,7,4,12,1,23.34,17.8,29.8,94.8,21.955
27/12/2015,361,1,4,12,1,24,21.1,28.2,13.6,32.307
28/12/2015,362,2,4,12,0,22.64,21.1,26.7,0,26.095
29/12/2015,363,3,5,12,0,21.68,20.3,24.1,10.3,22.309
30/12/2015,364,4,5,12,0,21.38,19.3,22.4,6.3,20.467
31/12/2015,365,5,5,12,0,24.76,20.2,29,0,22.446
